SHORT_NAME  CONTENT  LONG_NAME  FLAGS  BAM_ANIM  X_POS   Y_POS  NAME         TOOLTIP  LOAD_IM

NW1000 NW1000 NW1000 0 211 570 1152 @NW1000 N N
NW1033 NW1033 NW1033 0 90 1050 752 @NW1033 N N
NW1100 NW1100 NW1100 0 212 508 1101 @NW1100 N N
NW1200 NW1200 NW1200 0 213 506  1204 @NW1200 N N
NW1300 NW1300 NW1300 0 214 613 1096 @NW1300 N N
NW1400 NW1400 NW1400 0 215 651 1165 @NW1400 N N
NW2000 NW2000 NW2000 0 53 867 892 @NW2000 N N
NW2100 NW2100 NW2100 2 65 961 887 @NW2100 N N
NW2200 NW2200 NW2200 2 51 899 771 @NW2200 N N
NW2300 NW2300 NW2300 2 39 960 977 @NW2300 N N
NW2400 NW2400 NW2400 4 57 975 1069 @NW2400 N N
NW2500 NW2500 NW2500 0 56 1080 1108 @NW2500 N N
NW2510 NW2510 NW2510 4 56 1080 1108 @NW2510 N N
NW2600 NW2600 NW2600 0 71 1186 1127 @NW2600 N N
NW2601 NW2601 NW2601 0 71 1186 1127 @NW2601 N N
NW2700 NW2700 NW2700 2 61 1044 878 @NW2700 N N
NW2800 NW2800 NW2800 2 38 1102 921 @NW2800 N N
NW2900 NW2900 NW2900 2 59 1100 1026 @NW2900 N N
NW2E00 NW2E00 NW2E00 0 20 467 785 @NW2E00 N N
NW2E31 NW2E31 NW2E31 0 25 436 882 @NW2E31 N N
NW2E55 NW2E55 NW2E55 0 62 417 753 @NW2E55 N N
NW3000 NW3000 NW3000 4 13 1209 516 @NW3000 N N
NW3100 NW3100 NW3100 6 12 1318 501 @NW3100 N N
NW3200 NW3200 NW3200 6 61 1450 414 @NW3200 N N
NW3300 NW3300 NW3300 6 9 1546 503 @NW3300 N N
NW3400 NW3400 NW3400 6 69 1323 283 @NW3400 N N
NW3500 NW3500 NW3500 6 83 1780 46 @NW3500 N N
NW4000 NW4000 NW4000 0 26 592 1230 @NW4000 N N
