"","GLOBAL"
"NaxJob","GLOBAL"
"Nwnzoo","GLOBAL"
"PriceL","GLOBAL"
"PriceM","GLOBAL"
"GamCure","GLOBAL"
"LinaOut","GLOBAL"
"LuceJob","GLOBAL"
"NWArena","GLOBAL"
"NWELYYD","GLOBAL"
"NWJANIS","GLOBAL"
"NWLONDA","GLOBAL"
"PriceXL","GLOBAL"
"TomiOut","GLOBAL"
"UrtGold","GLOBAL"
"VandJob","GLOBAL"
"ZedTalk","GLOBAL"
"EckelJob","GLOBAL"
"ErbQuest","GLOBAL"
"Evidence","GLOBAL"
"FindCult","GLOBAL"
"JaxQuest","GLOBAL"
"JusamJob","GLOBAL"
"KillElks","GLOBAL"
"KnowKult","GLOBAL"
"KnowKurt","GLOBAL"
"NWKAOHIN","GLOBAL"
"NWMUTAMN","GLOBAL"
"SectSign","GLOBAL"
"ToMarrok","GLOBAL"
"WanevGem","GLOBAL"
"ZokanJob","GLOBAL"
"AaranTalk","GLOBAL"
"AarinTalk","GLOBAL"
"AldoQuest","GLOBAL"
"Brainworm","GLOBAL"
"BranFraud","GLOBAL"
"DaelanOut","GLOBAL"
"DeadJanis","GLOBAL"
"ErikQuest","GLOBAL"
"GethFraud","GLOBAL"
"HasherJob","GLOBAL"
"HelpDruid","GLOBAL"
"JevonTalk","GLOBAL"
"KnowBaram","GLOBAL"
"KnowMajor","GLOBAL"
"KnowQuint","GLOBAL"
"KurtOuest","GLOBAL"
"KurtQuest","GLOBAL"
"LeahSaved","GLOBAL"
"LeesQuest","GLOBAL"
"LinaQuest","GLOBAL"
"LodarTalk","GLOBAL"
"LokarTalk","GLOBAL"
"NWTaxTime","GLOBAL"
"PeteQuest","GLOBAL"
"TomiQuest","GLOBAL"
"UrthFraud","GLOBAL"
"ArmorQuest","GLOBAL"
"AvericTalk","GLOBAL"
"BaramOuest","GLOBAL"
"BaramQuest","GLOBAL"
"Bela_Oreth","GLOBAL"
"CloakTower","GLOBAL"
"DoorOpened","GLOBAL"
"DrakeQuest","GLOBAL"
"ErgusQuest","GLOBAL"
"FindEvaine","GLOBAL"
"GoToLuskan","GLOBAL"
"HoffScared","GLOBAL"
"Impossible","GLOBAL"
"JanisQuest","GLOBAL"
"JaregQuest","GLOBAL"
"KnowBandit","GLOBAL"
"KnowHector","GLOBAL"
"KnowKarlat","GLOBAL"
"KnowMarcus","GLOBAL"
"KnowSetara","GLOBAL"
"LillianJob","GLOBAL"
"LinaEscape","GLOBAL"
"LondaQuest","GLOBAL"
"MemberDied","GLOBAL"
"MyArtefact","GLOBAL"
"NWCoverlet","GLOBAL"
"NWNChapter","GLOBAL"
"NwTavTaxes","GLOBAL"
"OleffQuest","GLOBAL"
"RevatQuest","GLOBAL"
"SearchNeva","GLOBAL"
"SedosQuest","GLOBAL"
"SharwynOut","GLOBAL"
"SucubusJob","GLOBAL"
"TalkDreams","GLOBAL"
"TomiEscape","GLOBAL"
"UrtIsSaved","GLOBAL"
"WanevQuest","GLOBAL"
"AarinFriend","GLOBAL"
"AavillQuest","GLOBAL"
"AnimalsDead","GLOBAL"
"AribethTalk","GLOBAL"
"ArklemQuest","GLOBAL"
"Bela_Rhaine","GLOBAL"
"BoddinokOut","GLOBAL"
"DaelanQuest","GLOBAL"
"ElturaQuest","GLOBAL"
"FarmerQuest","GLOBAL"
"GillesQuest","GLOBAL"
"GoblinQuest","GLOBAL"
"GrimgnawOut","GLOBAL"
"HarbenQuest","GLOBAL"
"ILCARD_Free","GLOBAL"
"KnowCaptain","GLOBAL"
"KnowJemanie","GLOBAL"
"KnowKrestal","GLOBAL"
"KnowPrichev","GLOBAL"
"LentonQuest","GLOBAL"
"LuscanTower","GLOBAL"
"NeurikQuest","GLOBAL"
"NextRaundNW","GLOBAL"
"NW_Medicine","GLOBAL"
"NyatarQuest","GLOBAL"
"OphalaQuest","GLOBAL"
"RolgansTalk","GLOBAL"
"RolkidQuest","GLOBAL"
"SetaraQuest","GLOBAL"
"SolomonRing","GLOBAL"
"SpiritSaved","GLOBAL"
"TamoraQuest","GLOBAL"
"TelmaSecret","GLOBAL"
"ThomsAttack","GLOBAL"
"ThurinQuest","GLOBAL"
"ToAcquitted","GLOBAL"
"TrialBroken","GLOBAL"
"YvetteQuest","GLOBAL"
"AelaithQuest","GLOBAL"
"BallardQuest","GLOBAL"
"CultInLuskan","GLOBAL"
"DaelanEscape","GLOBAL"
"ElynwydQuest","GLOBAL"
"FormosaQuest","GLOBAL"
"GanonJournal","GLOBAL"
"HaedralinJob","GLOBAL"
"HectorFollow","GLOBAL"
"KaohionQuest","GLOBAL"
"LinaReleased","GLOBAL"
"NWArenaBreak","GLOBAL"
"NWNDocksDone","GLOBAL"
"PankinSecret","GLOBAL"
"PrichevQuest","GLOBAL"
"RolgansTrial","GLOBAL"
"SharwynQuest","GLOBAL"
"SriritPortal","GLOBAL"
"TomiReleased","GLOBAL"
"TrankarGolem","GLOBAL"
"TrankarQuest","GLOBAL"
"WardokLetter","GLOBAL"
"ZokanHostile","GLOBAL"
"AribethFriend","GLOBAL"
"BlackLakeDone","GLOBAL"
"BoddinokQuest","GLOBAL"
"GrimgnawQuest","GLOBAL"
"HaerdalinTalk","GLOBAL"
"Justification","GLOBAL"
"KendrackQuest","GLOBAL"
"KnowAboutErik","GLOBAL"
"MeldanenQuest","GLOBAL"
"MoonstoneMask","GLOBAL"
"NWSapphiraJob","GLOBAL"
"PeninsulaDone","GLOBAL"
"RelmarJournal","GLOBAL"
"ShaldrissMove","GLOBAL"
"SharwynEscape","GLOBAL"
"WaltersIsFree","GLOBAL"
"AnimalsRescued","GLOBAL"
"BoddinokEscape","GLOBAL"
"DaelanReleased","GLOBAL"
"DeceiveNeurrik","GLOBAL"
"GrimgnawEscape","GLOBAL"
"IslandDialogue","GLOBAL"
"KnowPasswordNW","GLOBAL"
"MakingMedicine","GLOBAL"
"NW_Final_Quest","GLOBAL"
"NyphithusQuest","GLOBAL"
"SexWithZamitra","GLOBAL"
"SilverbackTalk","GLOBAL"
"WtDeepCreature","GLOBAL"
"AnderIsMerchant","GLOBAL"
"BeggarsNestDone","GLOBAL"
"CatepultDestroy","GLOBAL"
"DreamsOfAribeth","GLOBAL"
"KnowsAboutMatch","GLOBAL"
"OleffQuestBreak","GLOBAL"
"PlayerHasPermit","GLOBAL"
"RolganAcquitted","GLOBAL"
"RolganConvicted","GLOBAL"
"SeedsArePlanted","GLOBAL"
"SharwynReleased","GLOBAL"
"Siege_Is_Lifted","GLOBAL"
"ToHelmTempleNWN","GLOBAL"
"TrankarCatapult","GLOBAL"
"BoddinokReleased","GLOBAL"
"DestherIsTraitor","GLOBAL"
"GrimgnawReleased","GLOBAL"
"NwnwoodCompleted","GLOBAL"
"AribetSurrendered","GLOBAL"
"CharwoodCompleted","GLOBAL"
"Charwood_Is_Saved","GLOBAL"
"Talked_with_Quint","GLOBAL"
"Charwood_Is_Cursed","GLOBAL"
"PlayerHasLuscanKey","GLOBAL"
"SPRITE_IS_DEADJANIS","GLOBAL"
"SPRITE_IS_DEADNWURT","GLOBAL"
"Golem_Afraid_of_Fire","GLOBAL"
"SPRITE_IS_DEADNWBRUN","GLOBAL"
"SPRITE_IS_DEADNWGETH","GLOBAL"
"TeleportToNewervinter","GLOBAL"
"SPRITE_IS_DEADNWDELILH","GLOBAL"
"SPRITE_IS_DEADNWKARATS","GLOBAL"
"SPRITE_IS_DEADNWSILVEK","GLOBAL"
"SPRITE_IS_DEADNWSPIRIO","GLOBAL"
"SPRITE_IS_DEADNWSTIRGE","GLOBAL"
"SPRITE_IS_DEADNWWYVERB","GLOBAL"
"SPRITE_IS_DEADNWYESGAR","GLOBAL"
"Messenger_of_Neverwinter","GLOBAL"
