Number of hits: 1785
File: NWGOLEM3.ITM, Name: Ring, Attribute: Resource=CDSW1H58.SPL
File: NWGOLEM3.ITM, Name: Ring, Attribute: Resource=CDMOUND.SPL
File: NWGOLEM3.ITM, Name: Ring, Attribute: Resource=CDHGNYA1.SPL
File: NWGRIM12.CRE, Name: Grimgnaw, Attribute: Spell=SPPR145.SPL
File: NWGRIM12.CRE, Name: Grimgnaw, Attribute: Spell=SPPR218.SPL
File: NWGRIM12.CRE, Name: Grimgnaw, Attribute: Spell=SPPR321.SPL
File: NWGRIM12.CRE, Name: Grimgnaw, Attribute: Spell=SPPR323.SPL
File: NWGRIM12.CRE, Name: Grimgnaw, Attribute: Spell=SPPR324.SPL
File: NWGRIM12.CRE, Name: Grimgnaw, Attribute: Spell=SPPR345.SPL
File: NWGRIM12.CRE, Name: Grimgnaw, Attribute: Spell=SPPR645.SPL
File: NWGRIM12.CRE, Name: Grimgnaw, Attribute: Spell=SPPR618.SPL
File: NWGRIM12.CRE, Name: Grimgnaw, Attribute: Spell=SPPR145.SPL
File: NWGRIM12.CRE, Name: Grimgnaw, Attribute: Spell=SPPR218.SPL
File: NWGRIM12.CRE, Name: Grimgnaw, Attribute: Spell=SPPR218.SPL
File: NWGRIM14.CRE, Name: Grimgnaw, Attribute: Spell=SPPR145.SPL
File: NWGRIM14.CRE, Name: Grimgnaw, Attribute: Spell=SPPR218.SPL
File: NWGRIM14.CRE, Name: Grimgnaw, Attribute: Spell=SPPR321.SPL
File: NWGRIM14.CRE, Name: Grimgnaw, Attribute: Spell=SPPR323.SPL
File: NWGRIM14.CRE, Name: Grimgnaw, Attribute: Spell=SPPR345.SPL
File: NWGRIM14.CRE, Name: Grimgnaw, Attribute: Spell=SPPR645.SPL
File: NWGRIM14.CRE, Name: Grimgnaw, Attribute: Spell=SPPR621.SPL
File: NWGRIM14.CRE, Name: Grimgnaw, Attribute: Spell=SPPR618.SPL
File: NWGRIM14.CRE, Name: Grimgnaw, Attribute: Spell=SPPR145.SPL
File: NWGRIM14.CRE, Name: Grimgnaw, Attribute: Spell=SPPR218.SPL
File: NWGRIM14.CRE, Name: Grimgnaw, Attribute: Spell=SPPR218.SPL
File: NWGRIM16.CRE, Name: Grimgnaw, Attribute: Spell=SPPR145.SPL
File: NWGRIM16.CRE, Name: Grimgnaw, Attribute: Spell=SPPR218.SPL
File: NWGRIM16.CRE, Name: Grimgnaw, Attribute: Spell=SPPR321.SPL
File: NWGRIM16.CRE, Name: Grimgnaw, Attribute: Spell=SPPR323.SPL
File: NWGRIM16.CRE, Name: Grimgnaw, Attribute: Spell=SPPR345.SPL
File: NWGRIM16.CRE, Name: Grimgnaw, Attribute: Spell=SPPR645.SPL
File: NWGRIM16.CRE, Name: Grimgnaw, Attribute: Spell=SPPR618.SPL
File: NWGRIM16.CRE, Name: Grimgnaw, Attribute: Spell=SPPR145.SPL
