File: NW2900.ARE, Attribute: Sound 1=AMB_E08A.WAV
File: NW2900.ARE, Attribute: Sound 1=AMB_E08A.WAV
File: NW2900.ARE, Attribute: Sound 1=AMB_E08A.WAV
File: NW2E32.ARE, Attribute: Sound 1=AMB_E10B.WAV
File: NWCATAPT.ITM, Name: No such index, Attribute: Resource=CDHORROR.VEF
File: NWDUPERT.ITM, Name: Shining Knight Ward, Attribute: Description image=CMISC2B.BAM
File: NWGOLEM3.ITM, Name: Ring, Attribute: Resource=CDSW1H58.SPL
File: NWGOLEM3.ITM, Name: Ring, Attribute: Resource=CDMOUND.SPL
File: NWGOLEM3.ITM, Name: Ring, Attribute: Resource=CDHGNYA1.SPL
File: NWGRIM12.CRE, Name: Grimgnaw, Attribute: Spell=SPPR650.SPL
File: NWGRIM12.CRE, Name: Grimgnaw, Attribute: Spell=SPPR650.SPL
File: NWGRIM14.CRE, Name: Grimgnaw, Attribute: Spell=SPPR650.SPL
File: NWGRIM14.CRE, Name: Grimgnaw, Attribute: Spell=SPPR650.SPL
File: NWGRIM16.CRE, Name: Grimgnaw, Attribute: Spell=SPPR650.SPL
File: NWGRIM16.CRE, Name: Grimgnaw, Attribute: Spell=SPPR650.SPL
File: NWGRIM18.CRE, Name: Grimgnaw, Attribute: Spell=SPPR650.SPL
File: NWGRIM18.CRE, Name: Grimgnaw, Attribute: Spell=SPPR650.SPL
File: NWIN115W.SPL, Name: Mournful Lament, Attribute: Resource=PARALH.VEF
File: NWIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#DRUAI.SPL
File: NWIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#DRUWA.SPL
File: NWIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#DRUEA.SPL
File: NWIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#DRUFI.SPL
File: NWIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#PLSAL.SPL
File: NWIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#PLWYV.SPL
File: NWIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#PLSPD.SPL
File: NWIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#WOLFI.SPL
File: NWIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#BRBR.SPL
File: NWIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#BRBR.ITM
File: NWIN489.SPL, Name: Set Spike Trap, Attribute: Spell icon=SPCL910C.BAM
File: NWIN491.SPL, Name: Set Exploding Trap, Attribute: Spell icon=SPCL911C.BAM
File: NWIN493.SPL, Name: Set Time Trap, Attribute: Spell icon=SPCL912C.BAM
File: NWKEY13.ITM, Name: Runestone, Attribute: Description image=CMISC2H.BAM
File: NWKEY16.ITM, Name: Stone Key, Attribute: Description image=CMISC2L.BAM
File: NWLINA12.CRE, Name: Linu, Attribute: Spell=SPPR650.SPL
File: NWLINA14.CRE, Name: Linu, Attribute: Spell=SPPR650.SPL
File: NWLINA16.CRE, Name: Linu, Attribute: Spell=SPPR650.SPL
File: NWLINA18.CRE, Name: Linu, Attribute: Spell=SPPR650.SPL
File: NWMINH1Y.ITM, Name: No such index, Attribute: Resource=RR#DPDIS.SPL
File: NWMINH1Z.ITM, Name: No such index, Attribute: Resource=RR#DPDIS.SPL
File: NWMISC27.ITM, Name: Estate Ward Stone, Attribute: Description image=CMISC2F.BAM
File: NWMISC66.ITM, Name: Glowing sphere with water, Attribute: Description image=CMISC94.BAM
File: NWMORAG4.ITM, Name: Ring, Attribute: Resource=CDSW1H58.SPL
File: NWMORAG4.ITM, Name: Ring, Attribute: Resource=CDMOUND.SPL
File: NWPSC08M.ITM, Name: <NO TEXT>, Attribute: Resource=RR#DPDIS.SPL
File: NWPSC08M.ITM, Name: <NO TEXT>, Attribute: Resource=SPCL661.SPL
File: NWPSC08M.ITM, Name: <NO TEXT>, Attribute: Resource=SPCL657.SPL
File: NWPSC08M.ITM, Name: <NO TEXT>, Attribute: Resource=SPCL653.SPL
File: NWPSC08M.ITM, Name: <NO TEXT>, Attribute: Resource=SPPSQ5.SPL
File: NWU!SC03.ITM, Name: Wraith Form, Attribute: Resource=SPWI315.SPL
File: NWU!SC03.ITM, Name: Wraith Form, Attribute: Resource=SPWI315.SPL
File: NWWANEVH.ITM, Name: Wanev's Guardian Stone, Attribute: Description image=CMISC2A.BAM 
