Warnings in dialogues
Number of hits: 267
File: 2Q6EPOD.dlg, Line: 1, Owner: Response trigger 4, Warning: Resource not found: S:Item*[ITM] - Wandnw6
File: 2Q6EPOD.dlg, Line: 1, Owner: Response trigger 5, Warning: Resource not found: S:Item*[ITM] - Wandnw6
File: 2Q6EPOD.dlg, Line: 1, Owner: Response trigger 7, Warning: Resource not found: S:Item*[ITM] - Wandnw6
File: 2Q6EPOD.dlg, Line: 1, Owner: Response trigger 9, Warning: Resource not found: S:Item*[ITM] - Wandnw6
File: 2Q6EPOD.dlg, Line: 1, Owner: Response trigger 14, Warning: Resource not found: S:Item*[ITM] - Wandnw6
File: 2Q6EPOD.dlg, Line: 1, Owner: Response trigger 15, Warning: Resource not found: S:Item*[ITM] - Wandnw6
File: 2Q6EPOD.dlg, Line: 2, Owner: Action 2, Warning: Resource not found: S:Item*[ITM] - Wandnw6
File: 2Q6EPOD.dlg, Line: 3, Owner: Action 2, Warning: Resource not found: S:ResRef*[ITM] - Wandnw6
File: 2Q6EPOD.dlg, Line: 2, Owner: Action 3, Warning: Resource not found: S:Item*[ITM] - Wandnw6
File: 2Q6EPOD.dlg, Line: 3, Owner: Action 3, Warning: Resource not found: S:ResRef*[ITM] - Wandnw6
File: AERIEP.DLG, Line: 47, Owner: Response trigger 5, Warning: Resource not found: S:ResRef*[ARE] - AR2906
File: AMARAN.DLG, Line: 1, Owner: State trigger 0, Warning: Script name not found: O:Object* - Faldorn
File: ANDER.dlg, Line: 3, Owner: State trigger 2, Warning: Script name not found: S:Name* - Alhelor
File: ANDER.dlg, Line: 3, Owner: State trigger 3, Warning: Script name not found: S:Name* - Alhelor
File: ANDER.dlg, Line: 2, Owner: State trigger 4, Warning: Script name not found: S:Name* - Alhelor
File: ANOMENP.DLG, Line: 47, Owner: Response trigger 0, Warning: Resource not found: S:ResRef*[ARE] - AR2906
File: APPAR.DLG, Line: 1, Owner: Action 0, Warning: Script name not found: O:Object* - APPAR
File: ARNWAR07.DLG, Line: 2, Owner: Action 0, Warning: Script name not found: O:Object* - Guillotine1
File: ARNWAR07.DLG, Line: 3, Owner: Action 0, Warning: Script name not found: O:Object* - Guillotine2
File: BANDIC.DLG, Line: 1, Owner: State trigger 0, Warning: Script name not found: S:Name* - Bandcap
File: BARUN.dlg, Line: 1, Owner: Response trigger 43, Warning: Resource not found: S:Item*[ITM] - Sw1h022
