Number of hits: 1682
File: NW1101.ARE, Attribute: WED resource=AR6757.WED
File: NW2029.ARE, Attribute: Trap script=ACT02.BCS
File: NWAUCTIN.STO, Name: The Seedy Tavern, Attribute: Rumors (drinks)=RFRIEN.DLG
File: NWBALLAD.STO, Name: Ballard, Attribute: Rumors (drinks)=RFRIEN.DLG
File: NWCHALJL.STO, Name: The Cracked Anvil, Attribute: Rumors (drinks)=RFRIEN.DLG
File: NWDURGA.STO, Name: Shining Knight, Attribute: Rumors (drinks)=RFRIEN.DLG
File: NWELTUR2.STO, Name: Eltura's Goods, Attribute: Rumors (drinks)=RFRIEN.DLG
File: NWELTUR3.STO, Name: Eltura's Special Goods, Attribute: Rumors (drinks)=RFRIEN.DLG
File: NWELTUR4.STO, Name: Arcana Archives, Attribute: Rumors (drinks)=RFRIEN.DLG
File: NWFENCEL.STO, Name: Fence, Attribute: Rumors (drinks)=RFRIEN.DLG
File: NWFENCER.STO, Name: Fence, Attribute: Rumors (drinks)=RFRIEN.DLG
File: NWGOLEM3.ITM, Name: Ring, Attribute: Resource=CDSW1H58.SPL
File: NWGOLEM3.ITM, Name: Ring, Attribute: Resource=CDMOUND.SPL
File: NWGOLEM3.ITM, Name: Ring, Attribute: Resource=CDHGNYA1.SPL
File: NWGUAR11.CRE, Name: Castle Guard, Attribute: Override script=NWGUAR17.BCS
File: NWGUAR12.CRE, Name: Castle Guard, Attribute: Override script=NWGUAR17.BCS
File: NWHASHER.STO, Name: Shining Knight, Attribute: Rumors (drinks)=RFRIEN.DLG
File: NWHELMI1.STO, Name: Temple of Helm, Attribute: Rumors (drinks)=RFRIEN.DLG
File: NWHELMIE.STO, Name: Temple of Helm, Attribute: Rumors (drinks)=RFRIEN.DLG
File: NWICFIRP.VVC, Attribute: Animation=SPFIRSDP.BAM
File: NWJUSAM.STO, Name: Yusam, Attribute: Rumors (drinks)=RFRIEN.DLG
File: NWMERC01.STO, Name: Luskan Store, Attribute: Rumors (drinks)=RFRIEN.DLG
File: NWMINH1Y.ITM, Name: No such index, Attribute: Resource=RR#DPDIS.SPL
File: NWMINH1Z.ITM, Name: No such index, Attribute: Resource=RR#DPDIS.SPL
File: NWMMWICV.SPL, Name: Reversal, Attribute: Resource=MMCHAL.2DA
File: NWMORAG4.ITM, Name: Ring, Attribute: Resource=CDSW1H58.SPL
File: NWMORAG4.ITM, Name: Ring, Attribute: Resource=CDMOUND.SPL
File: NWPLMISC.STO, Name: Merchant, Attribute: Rumors (drinks)=RFRIEN.DLG
File: NWPLSCRL.STO, Name: Scroll Merchant, Attribute: Rumors (drinks)=RFRIEN.DLG
File: NWPRST5.STO, Name: Waukeen's Wares, Attribute: Rumors (drinks)=RFRIEN.DLG
File: NWPSC08M.ITM, Name: <NO TEXT>, Attribute: Resource=RR#DPDIS.SPL
File: NWPSC08M.ITM, Name: <NO TEXT>, Attribute: Resource=SPCL661.SPL
File: NWPSC08M.ITM, Name: <NO TEXT>, Attribute: Resource=SPCL657.SPL
File: NWPSC08M.ITM, Name: <NO TEXT>, Attribute: Resource=SPCL653.SPL
File: NWPSC08M.ITM, Name: <NO TEXT>, Attribute: Resource=SPPSQ5.SPL
File: NWROLKI2.STO, Name: Merchant, Attribute: Rumors (drinks)=RFRIEN.DLG
File: NWROLKID.STO, Name: Merchant, Attribute: Rumors (drinks)=RFRIEN.DLG
File: NWSMITH1.STO, Name: NP: Forge of Luskan, Attribute: Rumors (drinks)=RFRIEN.DLG
File: SPIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#DRUAI.SPL
File: SPIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#DRUWA.SPL
File: SPIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#DRUEA.SPL
File: SPIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#DRUFI.SPL
File: SPIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#PLSAL.SPL
File: SPIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#PLWYV.SPL
File: SPIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#PLSPD.SPL
File: SPIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#WOLFI.SPL
File: SPIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#BRBR.SPL
File: SPIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#BRBR.ITM
File: SPIN489.SPL, Name: Set Spike Trap, Attribute: Spell icon=SPCL910C.BAM
File: SPIN491.SPL, Name: Set Exploding Trap, Attribute: Spell icon=SPCL911C.BAM
File: SPIN493.SPL, Name: Set Time Trap, Attribute: Spell icon=SPCL912C.BAM
File: SPPR955.SPL, Name: NP: Ash Eye, Attribute: Resource=REDBLAZE.VEF
