Number of hits: 3214
StringRef: 103749, Sound: BRAZIE, Text: 
StringRef: 103752, Sound: ARI_HI, Text: Приветствую и добро пожаловать.
StringRef: 103753, Sound: ARI_BAT2, Text: Дрожите перед возмездием!
StringRef: 103754, Sound: ARI_BAT3, Text: Я несу правосудие!
StringRef: 103755, Sound: ARI_ATTK, Text: Сражайтесь с ними! В атаку!
StringRef: 103756, Sound: ARI_ATK1, Text: 
StringRef: 103757, Sound: ARI_ATK2, Text: 
StringRef: 103758, Sound: ARI_HIT1, Text: 
StringRef: 103759, Sound: ARI_DEAD, Text: 
StringRef: 103775, Sound: T-MRC01A, Text: 
StringRef: 103776, Sound: T-MRC01B, Text: 
StringRef: 103777, Sound: T-MRC03, Text: 
StringRef: 103790, Sound: T-TCM02A, Text: 
StringRef: 103791, Sound: T-TCM03, Text: 
StringRef: 103793, Sound: T-BUG08A, Text: 
StringRef: 103794, Sound: T-BUG09A, Text: 
StringRef: 103795, Sound: T-BUG01A, Text: 
StringRef: 103796, Sound: T-BUG02A, Text: 
StringRef: 103797, Sound: T-BUG03A, Text: 
StringRef: 103798, Sound: T-BUG07A, Text: 
StringRef: 103799, Sound: T-BUG10A, Text: 
StringRef: 103800, Sound: T-BUG04A, Text: 
StringRef: 103802, Sound: T-BGC08A, Text: 
StringRef: 103803, Sound: T-BGC09A, Text: 
StringRef: 103804, Sound: T-BGC01A, Text: 
StringRef: 103805, Sound: T-BGC02A, Text: 
StringRef: 103806, Sound: T-BGC03A, Text: 
StringRef: 103807, Sound: T-BGC07A, Text: 
StringRef: 103808, Sound: T-BGC10A, Text: 
StringRef: 103809, Sound: T-BGC04A, Text: 
StringRef: 103810, Sound: BUGBATK1, Text: 
StringRef: 103811, Sound: BUGBDEAD, Text: 
StringRef: 103818, Sound: CATAPDAM, Text: 
StringRef: 103819, Sound: CATAPDIE, Text: 
StringRef: 103835, Sound: TSCFT01, Text: Ооо, у нас тут кто-то новый в городе, а?
StringRef: 103842, Sound: T-DMM01A, Text: 
StringRef: 103843, Sound: T-DMM01B, Text: 
StringRef: 103844, Sound: T-DMM03, Text: 
StringRef: 103845, Sound: T-DMM07, Text: 
StringRef: 103846, Sound: T-DMM09, Text: 
StringRef: 103853, Sound: DES_HI, Text: Приветствую тебя.
StringRef: 103854, Sound: DES_BAT1, Text: Умрите! Вы все... все умрете!
StringRef: 103855, Sound: DES_BAT2, Text: Я так просто не поддамся!
StringRef: 103856, Sound: DES_ATK2, Text: 
StringRef: 103857, Sound: DES_ATK3, Text: 
StringRef: 103858, Sound: DES_HIT2, Text: 
StringRef: 103859, Sound: DES_DEAD, Text: 
