Number of hits: 1255
File: AARIN1.CRE, Name: Аарин Генд, Attribute: Specifics=Unknown - 127
File: AARIN2.CRE, Name: Аарин Генд, Attribute: Specifics=Unknown - 127
File: AAVILL.CRE, Name: Аавил, Attribute: Animation=UNKNOWN - 0x527C
File: AAVILL.CRE, Name: Аавил, Attribute: Specifics=Unknown - 117
File: AGAR.CRE, Name: Агар, Attribute: Specifics=Unknown - 121
File: AMELNW.CRE, Name: Death movie, Attribute: Animation=UNKNOWN - 0x526D
File: ANDER.CRE, Name: Эндер, Attribute: Animation=UNKNOWN - 0x6440
File: ANDROD.CRE, Name: Андрод, Attribute: Animation=UNKNOWN - 0x5D62
File: ARCHEOL4.CRE, Name: Археолог, Attribute: Specifics=Unknown - 55
File: ARNESS.CRE, Name: Арнесс, Attribute: Animation=UNKNOWN - 0x5282
File: ASGARD.CRE, Name: Асгард, Attribute: Specifics=Unknown - 42
File: AUCTION.CRE, Name: Аукционист, Attribute: Animation=UNKNOWN - 0x5D56
File: AVISTA.CRE, Name: Ависта, Attribute: Specifics=Unknown - 3
File: BALLARD.CRE, Name: Баллард, Attribute: Specifics=Unknown - 204
File: BARAM1.CRE, Name: Высший капитан Барам, Attribute: Animation=UNKNOWN - 0x5D4D
File: BARAM2.CRE, Name: Высший капитан Барам, Attribute: Animation=UNKNOWN - 0x5D4D
File: BARAMS01.CRE, Name: Клиент (Черные Кинжалы), Attribute: Animation=UNKNOWN - 0x683E
File: BARAMS02.CRE, Name: Клиент (Черные Кинжалы), Attribute: Animation=UNKNOWN - 0x683E
File: BARAMS03.CRE, Name: Клиент (Черные Кинжалы), Attribute: Animation=UNKNOWN - 0x683E
File: BARAMS04.CRE, Name: Клиент (Черные Кинжалы), Attribute: Animation=UNKNOWN - 0x683E
File: BARAMS05.CRE, Name: Солдат Черных Кинжалов, Attribute: Animation=UNKNOWN - 0x683E
File: BARAMS06.CRE, Name: Стрелок Черных Кинжалов, Attribute: Animation=UNKNOWN - 0x5D4D
File: BARTNW1.CRE, Name: Bartender, Attribute: Animation=UNKNOWN - 0x5D57
File: BELA.CRE, Name: Бела, Attribute: Animation=UNKNOWN - 0x5D61
File: BERTRAN2.CRE, Name: Бертран, Attribute: Specifics=Unknown - 14
File: BODAK1.CRE, Name: Бодак - защитник Древних, Attribute: Animation=UNKNOWN - 0x525A
File: BUGBEAR.CRE, Name: Багбир, Attribute: Animation=UNKNOWN - 0x500E
File: BUGBEARP.CRE, Name: Багбир, Attribute: Animation=UNKNOWN - 0x500E
File: BUGBENW0.CRE, Name: Вождь багбиров, Attribute: Animation=UNKNOWN - 0x500F
File: BUGBENW1.CRE, Name: Багбир, Attribute: Animation=UNKNOWN - 0x500E
File: BUGBENW2.CRE, Name: Багбир, Attribute: Animation=UNKNOWN - 0x500E
File: BUGBENW3.CRE, Name: Багбир, Attribute: Animation=UNKNOWN - 0x500E
File: BUGBENW4.CRE, Name: Багбир, Attribute: Animation=UNKNOWN - 0x500E
File: BUGBENW5.CRE, Name: Багбир-герой, Attribute: Animation=UNKNOWN - 0x500E
File: BUGBENW6.CRE, Name: Багбир-разведчик, Attribute: Animation=UNKNOWN - 0x500E
File: BUGBPRIS.CRE, Name: Багбир, Attribute: Animation=UNKNOWN - 0x500E
File: CALLIK.CRE, Name: Каллик, Attribute: Specifics=Unknown - 8
File: CHARON.CRE, Name: Харон, Attribute: Animation=UNKNOWN - 0x5D56
File: CLAUDUS.CRE, Name: Клодус, Attribute: Specifics=Unknown - 8
File: CLET.CRE, Name: Клет, Attribute: Specifics=Unknown - 99
File: COMMONW1.CRE, Name: Простолюдин, Attribute: Animation=UNKNOWN - 0x5D56
File: CORPSE1.CRE, Name: Corpse, Attribute: Allegiance=Unknown - 127
File: CORPSE2.CRE, Name: Corpse, Attribute: Allegiance=Unknown - 127
