Number of hits: 1058
File: NWA#AMNM.CRE, Name: Sanctioned Wizard, Attribute: Specifics=Unknown - 77
File: NWAARIN1.CRE, Name: Aarin Gend, Attribute: Specifics=Unknown - 127
File: NWAARIN2.CRE, Name: Aarin Gend, Attribute: Specifics=Unknown - 127
File: NWAARIN3.CRE, Name: Aarin Gend, Attribute: Specifics=Unknown - 127
File: NWAGAR.CRE, Name: Agar, Attribute: Specifics=Unknown - 121
File: NWAGAR2.CRE, Name: Agar, Attribute: Specifics=Unknown - 121
File: NWAMNMH.CRE, Name: Sanctioned Wizard, Attribute: Specifics=Unknown - 77
File: NWARCHE4.CRE, Name: Archeologist, Attribute: Specifics=Unknown - 55
File: NWASGARD.CRE, Name: Asgard, Attribute: Specifics=Unknown - 42
File: NWAURIL1.CRE, Name: Priestess of Auril, Attribute: Specifics=Unknown - 77
File: NWAVISTA.CRE, Name: Avista, Attribute: Specifics=Unknown - 3
File: NWBALLAD.CRE, Name: Ballard, Attribute: Specifics=Unknown - 204
File: NWBERTR2.CRE, Name: Bertrand, Attribute: Specifics=Unknown - 14
File: NWCALLIK.CRE, Name: Callik, Attribute: Specifics=Unknown - 8
File: NWCLAUDS.CRE, Name: Claudus, Attribute: Specifics=Unknown - 8
File: NWCLET.CRE, Name: Cletus, Attribute: Specifics=Unknown - 99
File: NWCORPS1.CRE, Name: Corpse, Attribute: Allegiance=Unknown - 127
File: NWCORPS2.CRE, Name: Corpse, Attribute: Allegiance=Unknown - 127
File: NWCORPS5.CRE, Name: Corpse, Attribute: Allegiance=Unknown - 127
File: NWCULT03.CRE, Name: Cult Warrior, Attribute: Specifics=Unknown - 2
File: NWCULT04.CRE, Name: Cult Assassin, Attribute: Specifics=Unknown - 55
File: NWCULT2F.CRE, Name: Cultist, Attribute: Specifics=Unknown - 77
File: NWCULT2M.CRE, Name: Cultist, Attribute: Specifics=Unknown - 77
File: NWCULT4M.CRE, Name: Cult Mage, Attribute: Specifics=Unknown - 77
File: NWCULTIC.CRE, Name: Strange Man, Attribute: Specifics=Unknown - 77
File: NWCULTL2.CRE, Name: Cult Priest, Attribute: Specifics=Unknown - 77
File: NWCULTL3.CRE, Name: Cult Priest, Attribute: Specifics=Unknown - 77
File: NWCUST28.CRE, Name: Soldier, Attribute: Specifics=Unknown - 4
File: NWCUST31.CRE, Name: Soldier, Attribute: Specifics=Unknown - 4
File: NWDARANI.CRE, Name: Dara'nei, Attribute: Specifics=Unknown - 224
File: NWDARIUS.CRE, Name: Darius, Attribute: Specifics=Unknown - 42
File: NWDELVAR.CRE, Name: NP: Delvar Vanatar, Attribute: Specifics=Unknown - 204
File: NWDEMOSC.CRE, Name: Demon Knight, Attribute: Specifics=Unknown - 60
File: NWDUM.CRE, Name: Sparring Dummy, Attribute: Sex=Unknown - 158
File: NWDURGA.CRE, Name: Durga, Attribute: Specifics=Unknown - 121
File: NWELYYD.CRE, Name: Elynwyd, Attribute: Specifics=Unknown - 224
File: NWFGBOSS.CRE, Name: King Skrogg, Attribute: Specifics=Unknown - 255
File: NWFGMA01.CRE, Name: Fire Giant Mage, Attribute: Specifics=Unknown - 255
File: NWFGMA02.CRE, Name: Fire Giant Mage, Attribute: Specifics=Unknown - 255
File: NWFGWA01.CRE, Name: Fire Giant, Attribute: Specifics=Unknown - 255
File: NWFGWA02.CRE, Name: Fire Giant, Attribute: Specifics=Unknown - 20
File: NWFINALF.CRE, Name: Alu-Fiend, Attribute: Specifics=Unknown - 99
File: NWFINBAR.CRE, Name: Balor, Attribute: Specifics=Unknown - 99
File: NWFINBAU.CRE, Name: Babau, Attribute: Specifics=Unknown - 99
File: NWFINCA2.CRE, Name: Cambion, Attribute: Specifics=Unknown - 99
File: NWFINGLB.CRE, Name: Glabrezu, Attribute: Specifics=Unknown - 99
File: NWFINMAL.CRE, Name: Marilith, Attribute: Specifics=Unknown - 99
File: NWFINNAS.CRE, Name: Nabassu, Attribute: Specifics=Unknown - 99
File: NWFINSUC.CRE, Name: Succubus, Attribute: Specifics=Unknown - 99
File: NWFLSKUL.CRE, Name: Flaming Skull, Attribute: Specifics=Unknown - 255
File: NWGORKAN.CRE, Name: Gorkan, Attribute: Specifics=Unknown - 121
File: NWGUAR15.CRE, Name: Guardian Spirit of Helm, Attribute: Specifics=Unknown - 121
File: NWGULGAH.CRE, Name: Gulgash, Attribute: Specifics=Unknown - 121
File: NWGUZUD.CRE, Name: Guzud, Attribute: Specifics=Unknown - 208
File: NWHALIA.CRE, Name: Galia, Attribute: Specifics=Unknown - 99
File: NWHARBEN.CRE, Name: Harben Ashensmith, Attribute: Kit=Unknown - 0x0002
File: NWHILLBS.CRE, Name: Hill Giant Chief, Attribute: Specifics=Unknown - 255
File: NWHILLGN.CRE, Name: NP: Giant of the hills, Attribute: Specifics=Unknown - 255
File: NWHUG1.CRE, Name: Former Prisoner, Attribute: Specifics=Unknown - 15
File: NWHUG2.CRE, Name: Former Prisoner, Attribute: Specifics=Unknown - 15
File: NWJANIS2.CRE, Name: Janis, Attribute: Specifics=Unknown - 77
File: NWJEVON.CRE, Name: Jevon, Attribute: Specifics=Unknown - 2
File: NWKAOHIN.CRE, Name: Chaohinon from the Abyss, Attribute: Specifics=Unknown - 203
File: NWKURT08.CRE, Name: Bloody Hand Mercenary, Attribute: Specifics=Unknown - 33
File: NWKURTS2.CRE, Name: Bloody Hand Mercenary, Attribute: Specifics=Unknown - 33
File: NWLEGS1.CRE, Name: Warder, Attribute: Specifics=Unknown - 77
File: NWLUSCA1.CRE, Name: NP: Luskan Soldier, Attribute: Specifics=Unknown - 206
File: NWLUSCA2.CRE, Name: Luskan Archer, Attribute: Specifics=Unknown - 2
File: NWLUSCA3.CRE, Name: Catapult Commander, Attribute: Specifics=Unknown - 206
File: NWMAGE2.CRE, Name: Mage, Attribute: Specifics=Unknown - 77
File: NWMELD03.CRE, Name: Nasty Imp, Attribute: Specifics=Unknown - 121
File: NWMELD08.CRE, Name: Nasty Imp, Attribute: Specifics=Unknown - 121
File: NWMIN3.CRE, Name: Minotaur, Attribute: Specifics=Unknown - 208
File: NWMOOS12.CRE, Name: Elk Tribeswoman, Attribute: Specifics=Unknown - 231
File: NWMOOSE0.CRE, Name: Elk Tribeswoman, Attribute: Specifics=Unknown - 231
File: NWMOOSE1.CRE, Name: Elk Tribe Worshipper, Attribute: Specifics=Unknown - 231
File: NWMOOSE4.CRE, Name: Elk Tribeswoman, Attribute: Specifics=Unknown - 231
File: NWMOOSE9.CRE, Name: Elk Tribeswoman, Attribute: Specifics=Unknown - 231
File: NWNEVA.CRE, Name: Neva, Attribute: Specifics=Unknown - 2
File: NWNURSE2.CRE, Name: Nurse, Attribute: Specifics=Unknown - 77
File: NWNURSE3.CRE, Name: Nurse, Attribute: Specifics=Unknown - 77
File: NWNURSE4.CRE, Name: Nurse, Attribute: Specifics=Unknown - 77
File: NWNURSE5.CRE, Name: Nurse, Attribute: Specifics=Unknown - 77
File: NWOBULD.CRE, Name: Obould Many-Arrows, Attribute: Specifics=Unknown - 230
File: NWORC0.CRE, Name: Orc Chief, Attribute: Specifics=Unknown - 18
File: NWORC1.CRE, Name: Orc, Attribute: Specifics=Unknown - 221
File: NWORC2.CRE, Name: Orc Archer, Attribute: Specifics=Unknown - 234
File: NWORC3.CRE, Name: Orc, Attribute: Specifics=Unknown - 221
File: NWORC4.CRE, Name: Orc Archer, Attribute: Specifics=Unknown - 230
File: NWORC5.CRE, Name: Orc Champion, Attribute: Specifics=Unknown - 221
File: NWORC6.CRE, Name: Orc Sniper, Attribute: Specifics=Unknown - 230
File: NWORC7.CRE, Name: Orc, Attribute: Specifics=Unknown - 221
File: NWORC8.CRE, Name: Orc Archer, Attribute: Specifics=Unknown - 230
File: NWPATR01.CRE, Name: Blacklake Patrol, Attribute: Specifics=Unknown - 97
File: NWPATR03.CRE, Name: Guard, Attribute: Specifics=Unknown - 255
File: NWPATR04.CRE, Name: Guard, Attribute: Specifics=Unknown - 255
File: NWPATR05.CRE, Name: Guard, Attribute: Specifics=Unknown - 255
File: NWPATR06.CRE, Name: Guard, Attribute: Specifics=Unknown - 255
File: NWPATR07.CRE, Name: Guard, Attribute: Specifics=Unknown - 255
File: NWPATR08.CRE, Name: Guard Captain, Attribute: Specifics=Unknown - 208
File: NWPATR09.CRE, Name: Orc Scout, Attribute: Specifics=Unknown - 221
File: NWRELMAR.CRE, Name: Relmar, Attribute: Specifics=Unknown - 2
File: NWSAPPHA.CRE, Name: Sapphira, Attribute: Specifics=Unknown - 77
File: NWSETARA.CRE, Name: Setara, Attribute: Specifics=Unknown - 77
File: NWSETTL3.CRE, Name: Settler, Attribute: Specifics=Unknown - 4
File: NWSKEL04.CRE, Name: Skeleton Mage, Attribute: Specifics=Unknown - 209
File: NWSKEL05.CRE, Name: Skeleton Acolyte, Attribute: Specifics=Unknown - 209
File: NWSKELW0.CRE, Name: Skeleton Warrior, Attribute: Specifics=Unknown - 209
File: NWSUCUB0.CRE, Name: Succubus, Attribute: Specifics=Unknown - 99
File: NWUTHAR2.CRE, Name: Uthgardt Tribe Member, Attribute: Specifics=Unknown - 231
File: NWUTHAR4.CRE, Name: Uthgardt Tribe Member, Attribute: Specifics=Unknown - 231
File: NWVAATH.CRE, Name: Vaath, Attribute: Specifics=Unknown - 20
File: NWVENGAL.CRE, Name: Vengaul, Attribute: Specifics=Unknown - 15
File: NWWYVERB.CRE, Name: Wyvern, Attribute: Specifics=Unknown - 80
File: NWYEANAA.CRE, Name: Yeanasha, Attribute: Specifics=Unknown - 231
File: NWZAMIT1.CRE, Name: Zamithra, Attribute: Specifics=Unknown - 3
File: NWZAMIT2.CRE, Name: Zamithra, Attribute: Specifics=Unknown - 3
File: NWZAMIT3.CRE, Name: Zamithra, Attribute: Specifics=Unknown - 3
File: NWZED.CRE, Name: Zed, Attribute: Specifics=Unknown - 227
File: NWZOKAN.CRE, Name: Zokan, Attribute: Specifics=Unknown - 228
