Unknown IDS references in BCS & BS files
Number of hits: 411
File: ANDRIS.BCS, Line: 48, Error: 12 not found in GENERAL.IDS
File: AR0020.BCS, Line: 46, Error: 0 not found in SPELL.IDS
File: AR0020.BCS, Line: 57, Error: 0 not found in SPELL.IDS
File: AR0300.BCS, Line: 22, Error: 0 not found in SPELL.IDS
File: AR0300.BCS, Line: 33, Error: 0 not found in SPELL.IDS
File: AR0400.BCS, Line: 81, Error: 0 not found in SPELL.IDS
File: AR0400.BCS, Line: 92, Error: 0 not found in SPELL.IDS
File: AR0500.BCS, Line: 51, Error: 0 not found in SPELL.IDS
File: AR0500.BCS, Line: 62, Error: 0 not found in SPELL.IDS
File: AR0700.BCS, Line: 14, Error: 0 not found in SPELL.IDS
File: AR0700.BCS, Line: 25, Error: 0 not found in SPELL.IDS
File: AR0900.BCS, Line: 12, Error: 0 not found in SPELL.IDS
File: AR0900.BCS, Line: 23, Error: 0 not found in SPELL.IDS
File: AR1000.BCS, Line: 22, Error: 0 not found in SPELL.IDS
File: AR1000.BCS, Line: 33, Error: 0 not found in SPELL.IDS
File: AR1900.BCS, Line: 33, Error: 16 not found in DIR.IDS
File: cleric0.BS, Line: 55, Error: 314 not found in STATS.IDS
File: cleric0.BS, Line: 70, Error: 314 not found in STATS.IDS
File: CUT67A.BCS, Line: 48, Error: 16 not found in DIR.IDS
File: DAITEL.BCS, Line: 156, Error: 0 not found in SPELL.IDS
File: DAITEL.BCS, Line: 159, Error: 0 not found in SPELL.IDS
File: DEATHKNI.BCS, Line: 69, Error: 0 not found in SPELL.IDS
File: DEMI25.BCS, Line: 9, Error: 0 not found in SPELL.IDS
File: DEMNABSU.BCS, Line: 76, Error: 0 not found in SPELL.IDS
File: DRSHNL02.BCS, Line: 7, Error: 0 not found in SPELL.IDS
File: GAUTH01.BCS, Line: 57, Error: 0 not found in SPELL.IDS
File: GAUTH01.BCS, Line: 91, Error: 0 not found in SPELL.IDS
File: GAUTH01.BCS, Line: 104, Error: 0 not found in SPELL.IDS
File: GORGUA01.BCS, Line: 19, Error: 0 not found in SPELL.IDS
File: HGWIZ01.BCS, Line: 34, Error: 0 not found in SPELL.IDS
File: HGWIZ01.BCS, Line: 37, Error: 0 not found in SPELL.IDS
File: NISHRU01.BCS, Line: 31, Error: 0 not found in SPELL.IDS
File: NW1GCL5.bcs, Line: 66, Error: 0 not found in SPELL.IDS
File: NW1GCL5.bcs, Line: 176, Error: 0 not found in SPELL.IDS
File: NW1GCL5.bcs, Line: 177, Error: 0 not found in SPELL.IDS
File: NW1GCL5.bcs, Line: 178, Error: 0 not found in SPELL.IDS
File: NW1GCL5.bcs, Line: 179, Error: 0 not found in SPELL.IDS
File: NW1GCL5.bcs, Line: 180, Error: 0 not found in SPELL.IDS
File: NW1GCL5.bcs, Line: 181, Error: 0 not found in SPELL.IDS
File: NW1GCL5.bcs, Line: 2269, Error: 0 not found in SPELL.IDS
File: NW1GCL5.bcs, Line: 2270, Error: 0 not found in SPELL.IDS
File: NW1GCL5.bcs, Line: 2271, Error: 0 not found in SPELL.IDS
File: NW1GCL5.bcs, Line: 2272, Error: 0 not found in SPELL.IDS
File: NW1GCL5.bcs, Line: 2273, Error: 0 not found in SPELL.IDS
File: NW1GCL5.bcs, Line: 2274, Error: 0 not found in SPELL.IDS
File: NWARKLEM.bcs, Line: 9, Error: 0 not found in SPELL.IDS
File: NWARKLEM.bcs, Line: 10, Error: 0 not found in SPELL.IDS
File: NWARKLEM.bcs, Line: 11, Error: 0 not found in SPELL.IDS
File: NWARKLEM.bcs, Line: 12, Error: 0 not found in SPELL.IDS
File: NWARKLEM.bcs, Line: 13, Error: 0 not found in SPELL.IDS
File: NWARKLEM.bcs, Line: 14, Error: 0 not found in SPELL.IDS
File: NWBARAM.bcs, Line: 48, Error: 0 not found in SPELL.IDS
File: NWBPCA2B.bcs, Line: 117, Error: 0 not found in SPELL.IDS
File: NWBPCA2B.bcs, Line: 138, Error: 0 not found in SPELL.IDS
File: NWBPCA2B.bcs, Line: 195, Error: 0 not found in SPELL.IDS
File: NWBPCA2B.bcs, Line: 196, Error: 0 not found in SPELL.IDS
File: NWBPCA2B.bcs, Line: 197, Error: 0 not found in SPELL.IDS
File: NWBPCA2B.bcs, Line: 198, Error: 0 not found in SPELL.IDS
File: NWBPCA2B.bcs, Line: 199, Error: 0 not found in SPELL.IDS
File: NWBPCA2B.bcs, Line: 200, Error: 0 not found in SPELL.IDS
File: NWBPCB2B.bcs, Line: 82, Error: 0 not found in SPELL.IDS
File: NWBPCB2B.bcs, Line: 103, Error: 0 not found in SPELL.IDS
File: NWBPCB2B.bcs, Line: 160, Error: 0 not found in SPELL.IDS
File: NWBPCB2B.bcs, Line: 161, Error: 0 not found in SPELL.IDS
File: NWBPCB2B.bcs, Line: 162, Error: 0 not found in SPELL.IDS
File: NWBPCB2B.bcs, Line: 163, Error: 0 not found in SPELL.IDS
File: NWBPCB2B.bcs, Line: 164, Error: 0 not found in SPELL.IDS
File: NWBPCB2B.bcs, Line: 165, Error: 0 not found in SPELL.IDS
File: NWBPCC2B.bcs, Line: 320, Error: 0 not found in SPELL.IDS
File: NWBPCF2A.bcs, Line: 82, Error: 0 not found in SPELL.IDS
File: NWBPCF2A.bcs, Line: 103, Error: 0 not found in SPELL.IDS
File: NWBPCF2A.bcs, Line: 160, Error: 0 not found in SPELL.IDS
File: NWBPCF2A.bcs, Line: 161, Error: 0 not found in SPELL.IDS
File: NWBPCF2A.bcs, Line: 162, Error: 0 not found in SPELL.IDS
File: NWBPCF2A.bcs, Line: 163, Error: 0 not found in SPELL.IDS
File: NWBPCF2A.bcs, Line: 164, Error: 0 not found in SPELL.IDS
File: NWBPCF2A.bcs, Line: 165, Error: 0 not found in SPELL.IDS
File: NWBPCF2B.bcs, Line: 82, Error: 0 not found in SPELL.IDS
File: NWBPCF2B.bcs, Line: 103, Error: 0 not found in SPELL.IDS
File: NWBPCF2B.bcs, Line: 160, Error: 0 not found in SPELL.IDS
File: NWBPCF2B.bcs, Line: 161, Error: 0 not found in SPELL.IDS
File: NWBPCF2B.bcs, Line: 162, Error: 0 not found in SPELL.IDS
File: NWBPCF2B.bcs, Line: 163, Error: 0 not found in SPELL.IDS
File: NWBPCF2B.bcs, Line: 164, Error: 0 not found in SPELL.IDS
File: NWBPCF2B.bcs, Line: 165, Error: 0 not found in SPELL.IDS
File: NWBPCM20.bcs, Line: 320, Error: 0 not found in SPELL.IDS
